Frame,FPS,MemoryMB,BelowTarget
1,50.00,1452.09,1
2,50.00,1165.42,1
3,7.42,1167.79,1
4,5.93,1169.42,1
5,5.97,1171.93,1
6,23.45,1173.46,1
7,45.77,1174.72,1
8,46.16,1175.89,1
9,105.34,1176.99,0
10,55.88,1178.19,1
11,92.66,1178.89,0
12,152.14,1180.41,0
13,111.43,1181.01,0
14,128.03,1182.47,0
15,137.79,1183.72,0
16,75.05,1184.58,0
17,124.11,1186.00,0
18,113.53,1186.69,0
19,202.85,1188.18,0
20,120.74,1188.90,0
21,177.21,1189.88,0
22,153.27,1191.46,0
23,124.01,1191.90,0
24,169.70,1192.88,0
25,115.56,1194.72,0
26,110.81,1195.17,0
27,125.01,1196.90,0
28,61.53,1197.28,0
29,88.75,1199.12,0
30,95.74,1199.50,0
31,61.33,1201.32,0
32,102.09,1202.54,0
33,123.29,1203.00,0
34,211.54,1203.95,0
35,194.80,1206.06,0
36,125.95,1206.47,0
37,193.35,1207.72,0
38,179.10,1209.47,0
39,127.72,1209.89,0
40,214.73,1211.02,0
41,191.95,1212.18,0
42,208.93,1213.91,0
43,120.17,1214.63,0
44,181.60,1215.75,0
45,186.92,1217.34,0
46,130.83,1217.76,0
47,111.61,1219.55,0
48,124.70,1219.93,0
49,209.01,1220.95,0
50,205.20,1222.75,0
51,177.52,1224.02,0
52,125.48,1224.76,0
53,175.36,1225.71,0
54,182.27,1227.46,0
55,117.08,1228.03,0
56,178.97,1229.17,0
57,140.07,1230.95,0
58,94.14,1231.59,0
59,186.74,1232.85,0
60,206.44,1234.45,0
61,132.37,1234.91,0
62,174.19,1236.06,0
63,206.27,1237.79,0
64,118.92,1238.31,0
65,191.57,1239.34,0
66,182.43,1241.06,0
67,117.88,1241.58,0
68,163.68,1242.69,0
69,192.98,1244.43,0
70,122.07,1245.06,0
71,172.50,1246.22,0
72,172.15,1248.01,0
73,124.09,1248.55,0
74,194.86,1249.65,0
75,177.24,1251.34,0
76,124.03,1252.00,0
77,168.11,1253.04,0
78,206.49,1254.24,0
79,192.67,1256.03,0
80,120.81,1256.63,0
81,181.52,1257.86,0
82,177.03,1259.42,0
83,133.28,1260.05,0
84,146.28,1261.37,0
85,182.05,1262.88,0
86,117.29,1263.38,0
87,180.70,1264.29,0
88,211.10,1266.27,0
89,129.91,1266.70,0
90,200.16,1267.89,0
91,181.98,1269.64,0
92,125.36,1269.98,0
93,205.21,1271.26,0
94,195.75,1272.42,0
95,200.62,1274.35,0
96,123.97,1274.76,0
97,199.32,1275.90,0
98,201.60,1277.59,0
99,125.62,1278.05,0
100,199.80,1279.49,0
101,188.95,1280.69,0
102,192.07,1282.28,0
103,130.16,1282.76,0
104,199.50,1284.04,0
105,189.90,1285.77,0
106,125.49,1286.40,0
107,112.94,1288.21,0
108,113.39,1289.38,0
109,117.21,1289.78,0
110,123.38,1291.68,0
111,122.94,1292.09,0
112,209.64,1293.34,0
113,173.22,1295.02,0
114,134.50,1295.54,0
115,174.90,1296.80,0
116,195.46,1298.41,0
117,116.30,1298.96,0
118,160.70,1300.21,0
119,175.20,1301.94,0
120,124.91,1302.51,0
121,180.74,1303.60,0
122,210.11,1305.25,0
123,114.78,1305.99,0
124,172.14,1306.97,0
125,168.80,1308.55,0
126,127.67,1309.07,0
127,181.69,1310.25,0
128,203.68,1311.16,0
129,185.19,1312.90,0
130,132.19,1313.54,0
131,190.80,1314.70,0
132,206.60,1316.45,0
133,122.81,1317.17,0
134,200.46,1318.30,0
135,218.03,1319.92,0
136,118.85,1320.53,0
137,198.31,1321.49,0
138,198.26,1322.76,0
139,208.27,1324.44,0
140,128.75,1324.95,0
141,197.75,1326.05,0
142,172.90,1327.75,0
143,111.86,1328.33,0
144,164.99,1329.42,0
145,183.78,1331.04,0
146,107.11,1331.67,0
147,147.31,1332.94,0
148,152.93,1334.48,0
149,127.59,1335.31,0
150,146.82,1336.85,0
151,127.12,1337.35,0
152,189.47,1338.73,0
153,210.56,1339.61,0
154,215.62,1341.50,0
155,133.01,1342.05,0
156,198.23,1343.36,0
157,210.17,1344.39,0
158,194.60,1346.31,0
159,125.41,1346.82,0
160,205.11,1347.80,0
161,195.14,1349.65,0
162,126.34,1350.47,0
163,177.79,1351.72,0
164,172.17,1353.29,0
165,118.06,1354.02,0
166,199.22,1354.86,0
167,215.23,1356.68,0
168,129.23,1357.23,0
169,180.56,1358.42,0
170,197.43,1359.47,0
171,186.79,1361.14,0
172,127.01,1361.66,0
173,209.75,1362.73,0
174,213.16,1364.46,0
175,128.37,1364.97,0
176,205.08,1366.14,0
177,206.64,1367.30,0
178,206.87,1369.10,0
179,125.70,1369.69,0
180,208.03,1370.96,0
181,176.55,1372.49,0
182,132.55,1373.11,0
183,189.74,1374.10,0
184,158.91,1376.05,0
185,125.98,1376.69,0
186,199.75,1378.02,0
187,195.85,1378.96,0
188,199.57,1380.58,0
189,126.72,1381.00,0
190,207.91,1382.11,0
191,207.47,1383.89,0
192,125.40,1384.48,0
193,195.95,1385.62,0
194,177.61,1387.41,0
195,121.48,1388.12,0
196,182.37,1388.93,0
197,165.28,1390.61,0
198,129.07,1391.23,0
199,203.33,1392.41,0
200,185.97,1393.46,0
201,207.11,1395.29,0
202,127.79,1395.80,0
203,202.65,1396.90,0
204,206.92,1398.71,0
205,127.25,1399.30,0
206,194.22,1400.37,0
207,166.05,1402.05,0
208,118.34,1402.56,0
209,197.23,1403.78,0
210,211.61,1404.84,0
211,200.53,1406.58,0
212,128.68,1407.37,0
213,207.60,1408.27,0
214,207.53,1410.09,0
215,124.43,1410.72,0
216,203.66,1411.73,0
217,202.14,1412.91,0
218,165.73,1414.66,0
219,129.59,1415.28,0
220,197.05,1416.47,0
221,181.51,1418.15,0
222,131.25,1418.63,0
223,205.09,1419.74,0
224,217.10,1420.97,0
225,188.01,1422.65,0
226,124.15,1423.24,0
227,190.02,1424.20,0
228,188.26,1425.87,0
229,120.20,1426.44,0
230,199.96,1427.68,0
231,193.38,1429.36,0
232,131.09,1430.04,0
233,192.26,1431.13,0
234,204.35,1432.85,0
235,130.57,1433.33,0
236,181.25,1434.53,0
237,165.76,1435.67,0
238,200.81,1437.38,0
239,128.22,1437.80,0
240,203.12,1438.97,0
241,204.34,1440.71,0
242,131.64,1441.24,0
243,188.36,1442.46,0
244,192.85,1444.06,0
245,126.05,1444.57,0
246,205.99,1445.63,0
247,189.05,1446.80,0
248,193.95,1448.43,0
249,120.95,1449.00,0
