Frame,FPS,MemoryMB,BelowTarget
1,50.00,1451.76,1
2,50.00,1153.47,1
3,14.37,1154.84,1
4,25.95,1156.88,1
5,59.01,1158.03,1
6,46.75,1159.13,1
7,17.15,1160.28,1
8,35.20,1161.43,1
9,74.33,1162.50,0
10,48.97,1163.56,1
11,76.05,1164.78,0
12,83.23,1165.13,0
13,61.11,1167.04,0
14,58.35,1168.18,1
15,63.73,1169.33,0
16,61.17,1169.67,0
17,54.35,1171.52,1
18,48.53,1172.67,1
19,47.01,1173.75,1
20,39.43,1174.85,1
21,68.84,1175.19,0
22,90.39,1177.07,0
23,84.26,1178.21,0
24,82.30,1178.57,0
25,86.15,1180.37,0
26,84.92,1180.76,0
27,97.11,1182.60,0
28,87.98,1182.96,0
29,94.08,1184.80,0
30,88.12,1185.89,0
31,89.68,1186.26,0
32,109.58,1188.06,0
33,74.81,1188.44,0
34,84.80,1190.37,0
35,77.58,1190.85,0
36,42.68,1192.68,1
37,81.11,1193.11,0
38,92.31,1194.95,0
39,85.81,1195.52,0
40,105.47,1197.59,0
41,89.03,1198.04,0
42,84.54,1199.98,0
43,84.92,1201.19,0
44,85.09,1201.89,0
45,104.42,1203.73,0
46,95.35,1204.17,0
47,110.17,1206.13,0
48,88.64,1206.52,0
49,102.57,1208.40,0
50,88.40,1208.76,0
51,106.38,1210.64,0
52,86.72,1211.04,0
53,104.48,1212.85,0
54,56.64,1213.94,1
55,75.66,1214.61,0
56,104.74,1216.29,0
57,88.26,1216.79,0
58,81.81,1218.60,0
59,81.14,1219.70,0
60,89.35,1220.09,0
61,106.47,1221.91,0
62,90.12,1222.34,0
63,101.03,1224.13,0
64,91.37,1224.81,0
65,101.59,1226.35,0
66,88.66,1226.78,0
67,94.26,1228.68,0
68,82.85,1229.31,0
69,100.87,1231.22,0
70,84.11,1231.67,0
71,30.67,1233.92,1
72,76.97,1235.05,0
73,85.50,1235.67,0
74,115.63,1237.29,0
75,88.51,1237.97,0
76,108.31,1239.51,0
77,89.83,1239.85,0
78,102.89,1241.69,0
79,79.28,1242.23,0
80,90.67,1243.93,0
81,87.39,1245.15,0
82,77.13,1245.75,0
83,110.83,1247.35,0
84,96.11,1247.76,0
85,118.45,1249.59,0
86,94.65,1250.04,0
87,120.21,1251.85,0
88,96.09,1252.26,0
89,118.58,1254.12,0
90,93.39,1254.48,0
91,115.52,1255.79,0
92,113.42,1257.44,0
93,94.19,1257.83,0
94,125.66,1259.62,0
95,97.34,1259.99,0
96,126.56,1261.81,0
97,101.82,1262.18,0
98,121.75,1264.03,0
99,98.23,1264.63,0
100,113.76,1266.30,0
101,96.63,1266.63,0
102,116.32,1268.49,0
103,96.47,1268.99,0
104,114.70,1270.69,0
105,70.45,1271.12,0
106,94.56,1272.88,0
107,95.05,1273.40,0
108,119.43,1275.09,0
109,96.22,1275.47,0
110,116.58,1277.27,0
111,97.41,1277.67,0
112,116.55,1279.38,0
113,96.27,1279.80,0
114,119.47,1281.76,0
115,96.83,1282.13,0
116,125.63,1283.26,0
117,122.16,1285.26,0
118,93.30,1285.77,0
119,107.08,1287.44,0
120,99.18,1287.77,0
121,120.46,1289.61,0
122,97.55,1290.17,0
123,118.54,1291.85,0
124,95.87,1292.32,0
125,123.74,1294.19,0
126,99.20,1294.60,0
127,122.04,1296.44,0
128,95.84,1296.85,0
129,124.13,1297.93,0
130,124.01,1299.80,0
131,99.83,1300.26,0
132,118.00,1300.99,0
133,91.09,1302.61,0
134,112.76,1304.40,0
135,97.63,1304.87,0
136,126.04,1306.69,0
137,93.80,1307.04,0
138,123.68,1308.90,0
139,96.63,1309.28,0
140,123.35,1311.13,0
141,94.83,1311.50,0
142,124.78,1312.60,0
143,122.79,1314.39,0
144,94.71,1314.93,0
145,120.50,1316.65,0
146,99.29,1316.97,0
147,128.12,1318.83,0
148,91.39,1319.31,0
149,101.24,1321.10,0
150,100.78,1321.54,0
151,123.37,1323.51,0
152,99.76,1323.93,0
153,120.85,1325.77,0
154,93.60,1326.15,0
155,116.13,1328.06,0
156,96.69,1328.74,0
157,109.01,1330.25,0
158,77.13,1330.59,0
159,123.53,1332.46,0
160,94.31,1332.94,0
161,117.82,1334.72,0
162,92.33,1335.17,0
163,114.18,1336.91,0
164,92.71,1337.55,0
165,112.79,1338.42,0
166,129.29,1340.22,0
167,96.56,1340.62,0
168,118.83,1342.46,0
