Frame,FPS,MemoryMB,BelowTarget
1,50.00,1493.02,1
2,50.00,1503.39,1
3,5.07,1493.12,1
4,9.63,1491.61,1
5,19.68,1490.78,1
6,20.01,1488.41,1
7,9.74,1484.75,1
8,13.29,1483.02,1
9,23.83,1482.22,1
10,21.81,1480.51,1
11,20.39,1478.89,1
12,27.24,1486.02,1
13,34.92,1485.94,1
14,28.89,1485.92,1
15,30.57,1485.34,1
16,28.35,1484.93,1
17,24.03,1484.50,1
18,42.39,1484.16,1
19,59.95,1483.96,1
20,38.83,1482.59,1
21,34.92,1480.96,1
22,34.18,1480.08,1
23,19.10,1477.18,1
24,30.83,1472.75,1
25,45.67,1472.68,1
26,57.16,1472.00,1
27,55.13,1474.54,1
28,49.83,1473.72,1
29,48.54,1472.28,1
30,67.55,1468.25,0
31,58.70,1466.68,1
32,45.15,1465.53,1
33,63.69,1463.53,0
34,59.39,1461.22,1
35,65.84,1459.86,0
36,46.01,1459.03,1
37,44.21,1455.70,1
38,53.88,1453.76,1
39,63.91,1448.14,0
40,54.49,1443.10,1
41,61.35,1441.73,0
42,59.96,1439.76,1
43,54.04,1434.33,1
44,47.16,1429.12,1
45,52.98,1424.83,1
46,49.57,1419.55,1
47,63.92,1415.96,0
48,74.47,1411.38,0
49,61.60,1405.73,0
50,66.20,1403.03,0
51,49.52,1397.12,1
52,64.07,1393.10,0
53,77.66,1389.02,0
54,67.81,1385.47,0
55,50.12,1384.96,1
56,58.45,1380.18,1
57,63.44,1376.54,0
58,73.49,1376.14,0
59,39.04,1367.84,1
60,45.74,1362.41,1
61,36.78,1356.39,1
62,27.77,1365.49,1
63,46.76,1362.56,1
64,45.06,1358.12,1
65,44.33,1350.99,1
66,54.91,1347.39,1
67,59.79,1341.63,1
68,56.61,1338.85,1
69,56.71,1329.06,1
70,55.90,1324.68,1
71,66.58,1319.35,0
72,61.91,1315.57,0
73,61.02,1310.03,0
74,59.63,1297.56,1
75,36.87,1286.97,1
76,55.96,1281.98,1
77,55.16,1270.12,1
78,62.67,1266.95,0
79,56.27,1251.40,1
80,44.75,1260.79,1
81,39.52,1267.22,1
82,42.06,1282.60,1
83,63.16,1296.12,0
84,54.19,1306.95,1
85,48.71,1329.54,1
86,64.49,1330.62,0
87,63.87,1330.97,0
88,88.30,1332.81,0
89,62.67,1333.97,0
90,68.08,1334.35,0
91,80.06,1336.22,0
92,73.73,1337.40,0
93,76.71,1337.85,0
94,73.60,1339.64,0
95,67.43,1340.82,0
96,66.10,1341.92,0
97,69.26,1342.29,0
98,86.12,1344.16,0
99,69.35,1345.27,0
100,67.78,1345.71,0
101,88.11,1347.46,0
102,64.55,1348.60,0
103,65.49,1348.94,0
104,95.25,1350.90,0
105,77.44,1352.01,0
106,77.64,1352.30,0
107,92.32,1354.26,0
108,66.42,1355.33,0
109,57.63,1355.85,1
110,70.21,1357.61,0
111,64.73,1358.71,0
112,78.54,1359.91,0
113,69.03,1360.23,0
114,96.76,1362.24,0
115,64.49,1363.30,0
116,71.08,1363.62,0
117,76.88,1365.73,0
118,69.47,1366.85,0
119,76.05,1367.28,0
120,65.01,1369.12,0
121,60.28,1370.22,0
122,66.17,1371.29,0
123,74.82,1371.80,0
124,88.23,1373.64,0
125,61.22,1373.86,0
126,73.86,1375.42,0
127,84.15,1377.08,0
128,75.10,1378.29,0
129,73.80,1378.77,0
130,108.66,1380.57,0
131,66.43,1381.48,0
132,50.92,1382.90,1
133,55.77,1383.43,1
134,71.15,1385.19,0
135,78.00,1386.43,0
136,70.01,1386.81,0
137,96.30,1388.62,0
138,70.91,1389.69,0
139,68.96,1390.03,0
140,99.75,1391.90,0
141,63.80,1392.97,0
142,73.23,1393.81,0
143,86.65,1395.16,0
144,63.93,1396.36,0
145,69.43,1396.95,0
146,80.17,1398.53,0
147,73.66,1399.63,0
148,67.84,1400.70,0
149,72.09,1401.30,0
150,81.95,1402.74,0
151,69.06,1403.96,0
152,65.41,1404.61,0
153,82.43,1406.33,0
154,77.38,1407.22,0
155,77.90,1407.69,0
156,91.01,1409.65,0
157,56.61,1410.76,1
158,54.97,1411.93,1
159,73.09,1412.41,0
160,89.01,1414.23,0
161,73.15,1414.69,0
162,87.92,1416.48,0
163,74.47,1417.61,0
164,75.70,1417.93,0
165,105.86,1419.81,0
166,82.44,1420.15,0
167,99.50,1422.04,0
168,73.78,1423.12,0
169,64.28,1423.71,0
170,80.03,1425.39,0
171,64.36,1426.57,0
172,78.42,1426.98,0
173,96.61,1428.92,0
174,72.01,1430.09,0
175,77.49,1430.70,0
176,86.20,1432.34,0
177,79.82,1433.50,0
178,78.56,1433.68,0
179,90.86,1435.72,0
180,69.01,1436.06,0
181,68.12,1438.00,0
182,66.94,1439.08,0
183,81.48,1440.16,0
184,78.28,1440.65,0
185,101.11,1442.27,0
186,75.11,1442.65,0
187,93.46,1444.53,0
188,85.02,1445.08,0
189,90.07,1446.89,0
190,79.02,1448.05,0
191,70.13,1448.51,0
192,81.11,1450.45,0
193,60.58,1451.73,0
194,63.22,1453.05,0
195,71.86,1453.58,0
196,61.58,1455.79,0
197,64.33,1457.18,0
198,72.17,1458.23,0
199,70.17,1458.66,0
200,91.72,1460.72,0
201,70.36,1461.85,0
202,77.44,1462.15,0
203,84.64,1463.90,0
204,59.41,1465.36,1
205,63.54,1465.74,0
206,82.81,1467.59,0
207,72.03,1468.67,0
208,69.34,1468.95,0
209,82.57,1470.94,0
210,83.95,1472.02,0
211,82.41,1472.30,0
212,97.53,1474.28,0
213,88.78,1474.56,0
214,106.80,1476.50,0
215,75.77,1477.06,0
216,107.32,1478.83,0
217,86.33,1479.05,0
218,115.79,1481.17,0
219,77.41,1482.15,0
220,82.57,1482.50,0
221,111.17,1484.56,0
222,88.19,1484.86,0
223,100.08,1486.83,0
224,83.65,1487.12,0
225,112.53,1489.15,0
226,88.14,1489.39,0
227,104.60,1491.51,0
228,72.21,1491.73,0
229,117.37,1493.80,0
230,87.12,1494.07,0
231,85.87,1496.26,0
232,71.40,1497.28,0
233,85.92,1497.63,0
234,107.74,1499.80,0
235,83.36,1500.17,0
236,106.34,1502.22,0
237,83.43,1502.50,0
238,83.82,1504.38,0
239,82.36,1505.47,0
240,88.19,1505.87,0
241,110.04,1507.74,0
242,82.34,1508.16,0
243,107.56,1509.89,0
244,79.47,1510.41,0
245,105.63,1512.11,0
246,67.39,1513.19,0
247,68.31,1513.70,0
248,86.97,1515.44,0
249,81.76,1515.85,0
250,91.82,1517.57,0
251,66.66,1518.66,0
252,66.25,1519.80,0
253,61.58,1520.30,0
254,89.71,1522.13,0
255,63.11,1523.42,0
256,75.54,1523.76,0
257,71.00,1525.71,0
258,62.43,1526.95,0
259,73.52,1528.02,0
260,76.49,1528.71,0
261,94.80,1530.33,0
262,77.77,1530.79,0
263,107.22,1532.60,0
264,83.53,1533.13,0
265,111.77,1534.91,0
266,80.27,1536.04,0
267,83.26,1536.39,0
268,108.58,1538.31,0
269,77.72,1538.75,0
270,91.02,1540.64,0
271,69.03,1541.16,0
272,109.95,1542.82,0
273,83.84,1544.05,0
274,74.55,1544.63,0
275,105.58,1546.26,0
276,86.69,1546.68,0
277,98.11,1548.57,0
278,86.51,1549.00,0
279,100.00,1550.88,0
280,67.00,1552.15,0
281,83.05,1552.55,0
282,114.01,1554.38,0
283,67.63,1554.69,0
284,94.07,1556.59,0
285,71.27,1557.70,0
286,84.88,1558.09,0
287,99.30,1559.96,0
288,76.37,1560.55,0
289,108.97,1562.33,0
290,89.25,1562.79,0
291,90.53,1564.68,0
292,80.98,1565.84,0
293,81.11,1566.35,0
294,83.77,1568.20,0
295,80.55,1568.63,0
296,102.02,1570.43,0
297,72.26,1571.50,0
298,80.59,1572.06,0
299,107.84,1573.85,0
300,77.11,1574.36,0
301,91.09,1576.29,0
302,72.76,1577.28,0
303,82.90,1575.88,0
304,110.66,1571.10,0
305,77.10,1568.92,0
306,106.07,1569.13,0
307,70.51,1568.26,0
308,97.80,1568.18,0
309,75.13,1567.86,0
310,70.40,1567.01,0
311,81.74,1567.37,0
312,84.47,1567.08,0
313,71.29,1566.19,0
314,103.34,1566.62,0
315,85.15,1565.63,0
316,115.59,1566.17,0
317,74.04,1565.35,0
318,112.84,1565.79,0
319,76.69,1564.83,0
320,97.75,1565.32,0
321,83.17,1565.14,0
322,78.76,1564.25,0
323,72.23,1564.75,0
324,81.79,1564.58,0
325,68.84,1563.86,0
326,85.69,1564.10,0
327,73.35,1564.00,0
328,71.73,1563.45,0
329,78.53,1563.74,0
330,59.13,1563.71,1
331,74.89,1562.69,0
332,94.43,1563.20,0
333,76.91,1563.04,0
334,76.12,1562.17,0
335,86.91,1562.67,0
336,60.13,1562.60,0
337,80.67,1561.79,0
338,110.71,1562.39,0
339,76.39,1561.35,0
340,95.83,1562.03,0
341,82.54,1561.48,0
342,100.73,1561.65,0
343,80.47,1561.41,0
344,83.77,1560.55,0
345,114.70,1561.12,0
346,82.20,1560.16,0
347,100.61,1560.72,0
348,66.34,1559.72,0
349,93.72,1560.29,0
350,83.97,1560.06,0
351,80.74,1559.08,0
352,108.54,1559.54,0
353,76.39,1558.82,0
354,103.62,1559.19,0
355,80.94,1558.35,0
356,103.52,1558.85,0
357,83.29,1558.71,0
358,84.39,1557.67,0
359,113.13,1558.27,0
360,82.83,1557.43,0
361,106.21,1557.86,0
362,83.04,1556.72,0
363,99.59,1557.25,0
364,78.20,1556.28,0
365,72.90,1556.69,0
366,75.86,1556.48,0
367,69.04,1555.51,0
368,95.14,1556.09,0
369,83.73,1556.03,0
370,77.03,1555.13,0
371,104.15,1555.75,0
372,76.64,1555.18,0
373,101.65,1555.29,0
374,74.49,1555.16,0
375,65.20,1554.31,0
376,85.83,1554.83,0
377,84.93,1553.86,0
378,108.47,1554.40,0
379,75.11,1554.22,0
380,80.46,1553.38,0
381,111.18,1553.65,0
382,74.13,1552.57,0
383,106.33,1553.00,0
384,68.57,1552.80,0
385,73.05,1551.86,0
386,109.50,1551.92,0
387,79.23,1551.13,0
388,87.79,1551.91,0
389,71.66,1552.05,0
390,73.60,1551.31,0
391,99.60,1552.06,0
392,83.96,1551.50,0
393,93.10,1552.01,0
