Frame,LeftArmError,RightArmError,LeftLegError,RightLegError
1,0.1821,0.1772,0.3446,0.2406
2,0.1852,0.2298,0.2271,0.2713
3,1.5011,0.8731,0.5554,0.3746
4,1.6470,0.8981,0.5773,0.1924
5,1.0484,0.8570,0.3684,0.5067
6,0.1648,0.9197,0.2519,0.3391
7,0.1077,0.3270,0.2533,0.3303
8,0.0910,0.0959,0.2447,0.3400
9,0.2511,0.2637,0.2440,0.3141
10,0.3872,0.1666,0.2334,0.3033
11,0.1838,0.2729,0.2277,0.3035
12,0.5410,0.2942,0.2336,0.2896
13,0.4939,0.5117,0.2846,0.2011
14,0.4324,0.5014,0.2880,0.1733
15,0.3303,0.3920,0.3066,0.2481
16,0.3745,0.3649,0.3353,0.1943
17,0.2547,0.3369,0.6343,0.1960
18,0.1972,0.3035,0.3526,0.3101
19,0.1722,0.2695,0.2587,0.2947
20,0.2076,0.2707,0.2561,0.2757
21,0.1969,0.2909,0.2341,0.2997
22,0.2190,0.2860,0.2331,0.2589
23,0.2062,0.2901,0.2321,0.2946
24,0.2900,0.2968,0.2326,0.2367
25,0.2182,0.2906,0.2307,0.2907
26,0.3539,0.2223,0.2375,0.2357
27,0.2264,0.2916,0.2303,0.2889
28,0.3919,0.2201,0.2411,0.2323
29,0.2330,0.2929,0.2302,0.2876
30,0.2368,0.2940,0.2302,0.2869
31,0.4189,0.2140,0.2440,0.2245
32,0.2412,0.2956,0.2302,0.2869
33,0.2440,0.2969,0.2303,0.2874
34,0.4291,0.2012,0.2452,0.2239
35,0.2472,0.2988,0.2303,0.2885
36,0.2499,0.3007,0.2304,0.2895
37,0.3982,0.1971,0.2465,0.2326
38,0.2540,0.3038,0.2305,0.2910
39,0.4247,0.1943,0.2477,0.2383
40,0.2583,0.3076,0.2304,0.2927
41,0.4191,0.1932,0.2481,0.2441
42,0.2623,0.3113,0.2298,0.2940
43,0.6685,0.2270,0.3723,0.2313
44,0.2739,0.3242,0.2276,0.2973
45,0.4472,0.2173,0.2813,0.2656
46,0.4147,0.2092,0.2642,0.2555
47,0.2807,0.3324,0.2267,0.2990
48,0.2828,0.3350,0.2265,0.2995
49,0.7294,0.2816,0.2332,0.2521
